stomach_id,prey,prey_group,numbers,weight
2022_6_5,Cep,Cephalopoda,1,0.06
2021_29_1,Sepsp.,Cephalopoda,1,3.4
2022_32_29,Abrver,Cephalopoda,1,2.61
2021_35_20,Illcoi,Cephalopoda,1,0.06
2023_12_8,Abrver,Cephalopoda,2,2.55
2023_12_8,Illcoi,Cephalopoda,1,8.1
2023_24_3,Illcoi,Cephalopoda,1,6.15
2022_33_27,Rosmac,Cephalopoda,1,49.6
2021_35_28,Illcoi,Cephalopoda,1,13.99
2021_35_8,Illcoi,Cephalopoda,1,0.91
2021_36_13,Illcoi,Cephalopoda,1,0.02
2022_54_8,Cep,Cephalopoda,1,1.2
2020_64_19,Cep,Cephalopoda,1,0.26
2022_36_5,Cep,Cephalopoda,1,0.001
2020_37_26,Cep,Cephalopoda,1,0.001
2020_52_5,Sep,Cephalopoda,1,20.94
2022_24_1,Illcoi,Cephalopoda,1,171.01
2019_33_6,Illcoi,Cephalopoda,2,265.774
2023_33_65,Todsag,Cephalopoda,1,86.22
2022_33_49,Abrver,Cephalopoda,1,1.16
2021_35_2,Octvul,Cephalopoda,1,37.18
2023_14_22,Dec,Decapoda,6,0.3
2021_34_3,Dec,Decapoda,1,0.02
2021_34_1,Dec,Decapoda,3,0.12
2020_38_1,Dec,Decapoda,3,0.12
2020_43_24,Nat,Decapoda,2,0.16
2020_54_11,Dec,Decapoda,2,0.001
2020_54_36,Dec,Decapoda,3,0.07
2022_1_6,Plesp.,Decapoda,1,0.37
2022_4_16,Alpsp.,Decapoda,1,0.29
2019_6_3,Nat,Decapoda,1,0.632
2019_7_10,Mun,Decapoda,1,0.072
2023_8_6,Dec,Decapoda,2,0.51
2023_8_7,Dec,Decapoda,1,0.22
2020_8_15,Dec,Decapoda,1,2.9
2020_8_16,Dec,Decapoda,2,0.25
2022_11_44,Dec,Decapoda,1,0.57
2023_14_28,Dec,Decapoda,4,0.07
2023_14_23,Dec,Decapoda,15,0.06
2023_14_24,Dec,Decapoda,4,0.14
2023_14_25,Dec,Decapoda,1,0.12
2023_14_26,Dec,Decapoda,1,0.06
2023_14_18,Dec,Decapoda,5,0.37
2020_19_43,Parlon,Decapoda,1,1.79
2023_29_23,Plesp.,Decapoda,1,0.79
2022_29_14,Chlcra,Decapoda,1,0.98
2023_32_62,Plesp.,Decapoda,1,1.72
2021_37_10,Plehet,Decapoda,1,0.14
2021_38_10,Dec,Decapoda,1,0.09
2020_43_19,Dec,Decapoda,1,0.001
2022_46_11,Dec,Decapoda,2,0.45
2023_50_2,Dec,Decapoda,1,0.24
2019_51_3,Nat,Decapoda,1,0.062
2023_60_1,Dec,Decapoda,2,0.33
2021_61_22,Alpsp.,Decapoda,1,0.24
2023_61_6,Dec,Decapoda,1,0.07
2022_61_7,Chlcra,Decapoda,1,0.62
2023_61_4,Ser,Decapoda,3,1.84
2023_61_3,Ser,Decapoda,1,1.14
2020_62_30,Nat,Decapoda,1,0.05
2020_62_26,Nat,Decapoda,1,0.64
2022_62_19,Parlon,Decapoda,1,0.36
2022_62_18,Dec,Decapoda,1,0.001
2021_64_13,Passp.,Decapoda,1,0.09
2023_67_41,Pasmul,Decapoda,1,0.72
2023_67_41,Alpgla,Decapoda,1,0.44
2019_3_4,Nat,Decapoda,1,0.314
2021_6_3,Parlon,Decapoda,1,3.59
2022_7_2,Dec,Decapoda,1,0.06
2023_7_15,Alpgla,Decapoda,1,0.44
2023_8_2,Alpgla,Decapoda,1,1.19
2022_11_34,Plegig,Decapoda,1,0.67
2022_11_32,Plesp.,Decapoda,1,1.94
2023_11_30,Parlon,Decapoda,1,4.9
2023_11_19,Dec,Decapoda,1,0.39
2022_13_4,Dec,Decapoda,1,0.41
2023_17_71,Plesp.,Decapoda,1,2.1
2023_17_65,Pasmul,Decapoda,1,4.56
2023_18_34,Plesp.,Decapoda,1,1.01
2019_19_14,Nat,Decapoda,2,0.184
2020_19_44,Chlcra,Decapoda,2,1.36
2020_19_42,Nat,Decapoda,1,0.2
2020_19_37,Solcra,Decapoda,1,0.86
2020_27_2,Parlon,Decapoda,1,0.55
2020_27_24,Parlon,Decapoda,1,0.92
2020_32_51,Plesp.,Decapoda,1,2.04
2022_32_32,Chlcra,Decapoda,1,1.67
2021_32_9,Chlcra,Decapoda,1,0.25
2020_32_35,Nat,Decapoda,1,1.46
2022_32_35,Plesp.,Decapoda,1,0.97
2022_32_32,Plesp.,Decapoda,1,1.79
2020_32_43,Nat,Decapoda,1,2.33
2022_32_21,Pasmul,Decapoda,1,1.56
2021_33_10,Chlcra,Decapoda,1,0.56
2023_33_19,Dec,Decapoda,1,0.07
2020_33_16,Nat,Decapoda,1,1.78
2021_33_7,Dec,Decapoda,1,0.08
2021_34_4,Dec,Decapoda,1,0.29
2021_35_22,Chlcra,Decapoda,1,1.11
2021_35_17,Chlcra,Decapoda,1,0.97
2022_49_4,Alpsp.,Decapoda,1,0.02
2021_49_2,Plehet,Decapoda,1,0.6
2021_49_3,Sersp.,Decapoda,1,0.41
2022_51_17,Alpsp.,Decapoda,1,0.07
2020_54_97,Parlon,Decapoda,1,5.34
2019_60_4,Parlon,Decapoda,1,5.049
2023_60_10,Alp,Decapoda,1,0.46
2023_61_1,Dec,Decapoda,1,0.01
2020_61_12,Parlon,Decapoda,1,3.27
2020_61_10,Parlon,Decapoda,1,5.2
2019_62_7,Nat,Decapoda,1,0.547
2023_62_5,Dec,Decapoda,1,0.13
2020_62_19,Alp,Decapoda,1,0.58
2020_62_20,Nat,Decapoda,1,0.35
2022_62_8,Dec,Decapoda,1,0.001
2022_64_17,Parlon,Decapoda,1,0.76
2023_64_60,Dec,Decapoda,1,1.16
2023_64_53,Dec,Decapoda,1,0.29
2019_3_2,Nat,Decapoda,1,2.359
2019_6_7,Parlon,Decapoda,2,4.593
2020_9_6,Parlon,Decapoda,1,0.4
