"","prey","Freq","F_pc","numbers","N_pc","weight","W_pc","IRI","IRI_pc"
"1","Abrver",3,0.617283950617284,4,0.508905852417303,6.32,0.191911302968431,0.432603182336872,0.0219357462756871
"2","Alp",2,0.411522633744856,2,0.254452926208651,1.04,0.031580340994805,0.117709163458213,0.0059686069112919
"3","Alpgla",5,1.02880658436214,5,0.636132315521629,3.77,0.114478736106168,0.772233592209667,0.0391571787631527
"4","Alpsp.",6,1.23456790123457,6,0.763358778625954,1.87,0.056783882365659,1.01252180369335,0.0513413268585779
"5","Argsph",1,0.205761316872428,1,0.127226463104326,10.37,0.3148924385732,0.0909709674233592,0.00461280947836087
"6","Booboo",1,0.205761316872428,2,0.254452926208651,6.53,0.198288102592382,0.0931565902882784,0.00472363452675793
"7","Cep",5,1.02880658436214,5,0.636132315521629,1.522,0.0462166144173974,0.70200507195373,0.0355961439290363
"8","Cepmac",2,0.411522633744856,2,0.254452926208651,2.194,0.0666223732140406,0.132129752848844,0.00669982296085955
"9","Cermad",3,0.617283950617284,13,1.65394402035623,30.95,0.9398188017204,1.6010881617757,0.0811854029644396
"10","Chaslo",1,0.205761316872428,2,0.254452926208651,10.17,0.308819296074199,0.115899634214578,0.00587685221325112
"11","Chlaga",9,1.85185185185185,10,1.27226463104326,101.649,3.08664430940475,8.07205359342223,0.409304708746166
"12","Chlcra",14,2.88065843621399,17,2.16284987277354,16.81,0.510447627041031,7.70085699535061,0.390482668765524
"13","Cru",22,4.52674897119342,53,6.74300254452926,6.143,0.186536571856815,31.3682840659452,1.59057248875814
"14","Dec",57,11.7283950617284,101,12.8498727735369,24.654,0.748636275851849,159.48868638172,8.08709575230936
"15","Delqua",1,0.205761316872428,1,0.127226463104326,2.11,0.0640716533644602,0.0393617523598325,0.0019958924205494
"16","Engenc",97,19.9588477366255,127,16.1577608142494,515.114,15.6418036261519,634.68266475698,32.1824676010929
"17","Gadarg",5,1.02880658436214,5,0.636132315521629,21.86,0.663794475140806,1.33737324142226,0.0678133710003255
"18","Hymita",1,0.205761316872428,2,0.254452926208651,7.32,0.222277015463435,0.0980925805909644,0.00497392078289244
"19","Illcoi",8,1.64609053497942,9,1.14503816793893,466.014,14.1508471426472,25.1784120338866,1.27670641491018
"20","Lamcro",1,0.205761316872428,1,0.127226463104326,8.24,0.25021347095884,0.0776625378730793,0.00393798704093491
"21","Lepcau",2,0.411522633744856,2,0.254452926208651,39.95,1.21311021417544,0.603935448717735,0.03062338723077
"22","Lesfri",4,0.823045267489712,4,0.508905852417303,3.27,0.0992958798586658,0.500577557428781,0.0253824815428894
"23","Mermer",1,0.205761316872428,1,0.127226463104326,8.24,0.25021347095884,0.0776625378730793,0.00393798704093491
"24","Micpou",8,1.64609053497942,9,1.14503816793893,348.47,10.5815398331343,19.3030090552646,0.978785931962583
"25","Mun",1,0.205761316872428,1,0.127226463104326,0.072,0.00218633129964035,0.0266281469967008,0.0013502172433315
"26","Myc",47,9.67078189300411,111,14.1221374045802,145.411,4.41550861961115,179.273531509669,9.09031385275435
"27","Nat",22,4.52674897119342,24,3.05343511450382,27.665,0.840067436174309,17.6249086656211,0.893695516830855
"28","Netmel",2,0.411522633744856,3,0.381679389312977,11.38,0.345561808193155,0.299276212965487,0.0151752167852692
"29","Octvul",1,0.205761316872428,1,0.127226463104326,37.18,1.12899719056428,0.258482233265145,0.0131067012846473
"30","Ophser",2,0.411522633744856,2,0.254452926208651,33.3,1.01117822608366,0.520835865140869,0.0264097072224295
"31","Ost",137,28.1893004115226,147,18.7022900763359,301.32,9.14979648899486,785.130835277842,39.811151417887
"32","Parlon",31,6.37860082304527,34,4.32569974554707,134.657,4.08895574743987,53.6737284532089,2.72160108175738
"33","Pasmul",4,0.823045267489712,4,0.508905852417303,9.59,0.291207182827096,0.658529247114732,0.0333916417391938
"34","Passp.",1,0.205761316872428,1,0.127226463104326,0.09,0.00273291412455043,0.0267406125985342,0.00135591996815482
"35","Phyble",1,0.205761316872428,1,0.127226463104326,8.27,0.25112444233369,0.0778499805428016,0.0039474915823071
"36","Pleedw",1,0.205761316872428,1,0.127226463104326,3.75,0.113871421856268,0.0496086183046489,0.00251547401556281
"37","Plegig",1,0.205761316872428,1,0.127226463104326,0.67,0.0203450273716532,0.0303645042131644,0.00153967443468396
"38","Plehet",2,0.411522633744856,2,0.254452926208651,0.74,0.0224706272463036,0.113960310063767,0.00577851608384796
"39","Plesp.",17,3.49794238683128,20,2.54452926208651,22.8,0.69233824488611,11.3223760531964,0.574116831501779
"40","Rosmac",1,0.205761316872428,1,0.127226463104326,49.6,1.50613933975224,0.336083498530158,0.0170415814127367
"41","Saraur",2,0.411522633744856,2,0.254452926208651,75.793,2.3015084471339,1.05183595610805,0.0533348056576796
"42","Sarpil",4,0.823045267489712,12,1.52671755725191,203.36,6.17517129298418,6.33900316891859,0.32142797564049
"43","Sep",1,0.205761316872428,1,0.127226463104326,20.94,0.635858019645401,0.157013268055499,0.00796157622183148
"44","Sepsp.",1,0.205761316872428,1,0.127226463104326,3.4,0.103243422483016,0.0474217871578893,0.00240458769955385
"45","Ser",2,0.411522633744856,4,0.508905852417303,2.98,0.0904898232351144,0.24666488709976,0.0125074863049156
"46","Serhep",1,0.205761316872428,1,0.127226463104326,8.88,0.269647526955643,0.081661314827154,0.00414075059020844
"47","Sersp.",1,0.205761316872428,1,0.127226463104326,0.41,0.012449942122952,0.0287400010755715,0.00145730174279159
"48","Solcra",1,0.205761316872428,1,0.127226463104326,0.86,0.0261145127457042,0.0315516411214053,0.00159986986337454
"49","Solmem",1,0.205761316872428,1,0.127226463104326,1.93,0.0586058251153593,0.038237096341499,0.00193886517231622
"50","Spa",3,0.617283950617284,3,0.381679389312977,21.74,0.660150589641405,0.643104925280483,0.0326095300394996
"51","Spifle",8,1.64609053497942,8,1.01781170483461,195.3,5.93042365027444,11.4374244528544,0.579950520682448
"52","Spisp.",2,0.411522633744856,2,0.254452926208651,37.55,1.14023250418743,0.573944621562174,0.0291026606112185
"53","Squman",1,0.205761316872428,1,0.127226463104326,0.4,0.0121462849980019,0.0286775201856641,0.00145413356233419
"54","Sto",1,0.205761316872428,1,0.127226463104326,4.68,0.142111534476623,0.0554193410660388,0.00281011479810091
"55","Stoboa",1,0.205761316872428,1,0.127226463104326,9.38,0.284830383203145,0.0847853593225249,0.00429915961307838
"56","Todsag",1,0.205761316872428,1,0.127226463104326,86.22,2.61813173131932,0.56488851737112,0.0286434582477314
"57","Tramed",1,0.205761316872428,1,0.127226463104326,10.32,0.31337415294845,0.0906585629738221,0.00459696857607387
"58","Tratra",6,1.23456790123457,6,0.763358778625954,177.97,5.40418585273601,7.61425263131107,0.386091273987343
