"","prey","prey_group"
"1","Cep","Cephalopoda"
"2","Sepsp.","Cephalopoda"
"3","Abrver","Cephalopoda"
"4","Illcoi","Cephalopoda"
"5","Rosmac","Cephalopoda"
"6","Sep","Cephalopoda"
"7","Todsag","Cephalopoda"
"8","Octvul","Cephalopoda"
"9","Dec","Decapoda"
"10","Nat","Decapoda"
"11","Plesp.","Decapoda"
"12","Alpsp.","Decapoda"
"13","Mun","Decapoda"
"14","Parlon","Decapoda"
"15","Chlcra","Decapoda"
"16","Plehet","Decapoda"
"17","Ser","Decapoda"
"18","Passp.","Decapoda"
"19","Pasmul","Decapoda"
"20","Alpgla","Decapoda"
"21","Plegig","Decapoda"
"22","Solcra","Decapoda"
"23","Sersp.","Decapoda"
"24","Alp","Decapoda"
"25","Pleedw","Decapoda"
"26","Solmem","Decapoda"
"27","Cru","Other Crust."
"28","Squman","Other Crust."
"29","Ost","Teleostei"
"30","Saraur","Teleostei"
"31","Engenc","Teleostei"
"32","Lesfri","Teleostei"
"33","Myc","Teleostei"
"34","Gadarg","Teleostei"
"35","Sto","Teleostei"
"36","Cepmac","Teleostei"
"37","Tratra","Teleostei"
"38","Cermad","Teleostei"
"39","Phyble","Teleostei"
"40","Chlaga","Teleostei"
"41","Argsph","Teleostei"
"42","Delqua","Teleostei"
"43","Spisp.","Teleostei"
"44","Lamcro","Teleostei"
"45","Lepcau","Teleostei"
"46","Spifle","Teleostei"
"47","Micpou","Teleostei"
"48","Mermer","Teleostei"
"49","Sarpil","Teleostei"
"50","Netmel","Teleostei"
"51","Ophser","Teleostei"
"52","Spa","Teleostei"
"53","Stoboa","Teleostei"
"54","Booboo","Teleostei"
"55","Chaslo","Teleostei"
"56","Serhep","Teleostei"
"57","Hymita","Teleostei"
"58","Tramed","Teleostei"
